hour_of_day,date,gender,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-01-01,0,391,1145,883.125,7065,8
00,2019-01-01,1,64,3494,759.8247422680413,73703,97
00,2019-01-01,2,177,2932,776.9285714285714,21754,28
00,2019-01-02,0,202,5891,1731.5,17315,10
00,2019-01-02,1,71,3224,522.2689075630252,62150,119
00,2019-01-02,2,79,3059,708.2333333333333,21247,30
00,2019-01-03,0,398,1050,672.3333333333334,4034,6
00,2019-01-03,1,69,2626,600.7291666666666,86505,144
00,2019-01-03,2,172,24443,1480.8709677419354,45907,31
00,2019-01-04,0,137,87891,7066.357142857143,98929,14
00,2019-01-04,1,62,2719,595.6380090497737,131636,221
00,2019-01-04,2,143,40267,2590.4864864864867,95848,37
00,2019-01-05,0,121,13221,1688.1538461538462,21946,13
00,2019-01-05,1,61,74930,800.4249291784703,282550,353
00,2019-01-05,2,89,64364,1464.0125,117121,80
00,2019-01-06,0,230,40139,3024.235294117647,51412,17
00,2019-01-06,1,76,10099,690.2110817941953,261590,379
00,2019-01-06,2,62,2736,784.9302325581396,67504,86
00,2019-01-07,0,180,1295,710.0,7810,11
00,2019-01-07,1,70,3725,560.5873015873016,70634,126
00,2019-01-07,2,195,3564,893.76,22344,25
00,2019-01-08,0,258,3532,1547.6666666666667,4643,3
00,2019-01-08,1,82,4839,609.9797297297297,90277,148
00,2019-01-08,2,88,3815,691.5588235294117,23513,34
00,2019-01-09,0,168,383,275.5,551,2
00,2019-01-09,1,122,3638,557.8461538461538,43512,78
00,2019-01-09,2,107,2742,804.9411764705883,13684,17
00,2019-01-10,0,343,2680,1175.1666666666667,7051,6
00,2019-01-10,1,76,2747,627.0755813953489,107857,172
00,2019-01-10,2,78,1893,548.4137931034483,15904,29
00,2019-01-11,0,155,1806,894.6,4473,5
00,2019-01-11,1,61,2188,584.4261363636364,102859,176
00,2019-01-11,2,103,1069,466.5483870967742,14463,31
00,2019-01-12,0,131,2761,917.2727272727273,10090,11
00,2019-01-12,1,79,2711,588.0153846153846,152884,260
00,2019-01-12,2,75,2589,615.0952380952381,25834,42
00,2019-01-13,0,221,1598,554.9090909090909,6104,11
00,2019-01-13,1,61,39401,818.4626334519573,229988,281
00,2019-01-13,2,151,2134,552.8703703703703,29855,54
00,2019-01-14,0,418,1178,798.0,1596,2
00,2019-01-14,1,68,1603,554.1052631578947,52640,95
00,2019-01-14,2,70,2444,611.9285714285714,17134,28
00,2019-01-15,0,241,1360,954.0,3816,4
00,2019-01-15,1,70,2749,580.3015873015873,73118,126
00,2019-01-15,2,93,2606,582.4285714285714,16308,28
00,2019-01-16,0,117,2491,708.4,7084,10
00,2019-01-16,1,95,3129,621.8641304347826,114423,184
00,2019-01-16,2,124,2119,621.2142857142857,17394,28
00,2019-01-17,0,292,687,442.2,2211,5
00,2019-01-17,1,84,8188,632.5535714285714,106269,168
00,2019-01-17,2,134,3143,621.6470588235294,21136,34
00,2019-01-18,0,195,1732,890.8,4454,5
00,2019-01-18,1,91,4538,568.045,113609,200
00,2019-01-18,2,202,2090,721.3939393939394,23806,33
00,2019-01-19,0,123,2020,835.5833333333334,10027,12
00,2019-01-19,1,79,3094,638.4869888475837,171753,269
00,2019-01-19,2,64,4891,735.5370370370371,39719,54
00,2019-01-20,0,290,48391,24340.5,48681,2
00,2019-01-20,1,89,2649,679.5333333333333,40772,60
00,2019-01-20,2,116,1820,784.4,7844,10
00,2019-01-21,0,104,6687,1021.0,12252,12
00,2019-01-21,1,83,2885,556.7222222222222,50105,90
00,2019-01-21,2,114,1949,628.0714285714286,8793,14
00,2019-01-22,0,364,559,461.5,923,2
00,2019-01-22,1,101,1308,434.58,21729,50
00,2019-01-22,2,587,1475,952.6666666666666,2858,3
00,2019-01-23,0,267,3695,1683.0,10098,6
00,2019-01-23,1,72,3815,668.1901408450705,94883,142
00,2019-01-23,2,127,2399,704.7058823529412,11980,17
00,2019-01-24,0,195,1269,463.44444444444446,4171,9
00,2019-01-24,1,64,2467,627.8829268292683,128716,205
00,2019-01-24,2,103,49499,2076.942857142857,72693,35
00,2019-01-25,0,197,710,428.75,1715,4
00,2019-01-25,1,68,2541,625.0052083333334,120001,192
00,2019-01-25,2,131,1969,603.0857142857143,21108,35
00,2019-01-26,0,162,28495,4672.857142857143,65420,14
00,2019-01-26,1,68,7101,640.6300366300367,174892,273
00,2019-01-26,2,75,2929,734.0377358490566,38904,53
00,2019-01-27,0,215,3304,1129.0555555555557,20323,18
00,2019-01-27,1,76,36052,737.3821656050956,231538,314
00,2019-01-27,2,92,24516,907.3972602739726,66240,73
00,2019-01-28,1,96,2658,604.1376811594203,83371,138
00,2019-01-28,2,125,1157,475.2352941176471,8079,17
00,2019-01-29,0,211,4389,1544.3333333333333,9266,6
00,2019-01-29,1,77,3479,578.3307086614174,73448,127
00,2019-01-29,2,69,4186,949.3448275862069,27531,29
00,2019-01-30,0,236,30233,15234.5,30469,2
00,2019-01-30,1,91,2537,613.5970149253732,82222,134
