start_sta_name,usertype,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count,birth_year_min,birth_year_max,start_sta_lat_min,start_sta_lon_min
1 Ave & E 110 St,Customer,70,218862,1959.6742233417297,2333972,1191,1935,2003,40.7923272,-73.9383
1 Ave & E 110 St,Subscriber,61,770998,783.6544565565887,9776873,12476,1928,2003,40.7923272,-73.9383
1 Ave & E 16 St,Customer,62,444224,1650.8961832061068,9732033,5895,1949,2003,40.73221853,-73.98165557
1 Ave & E 16 St,Subscriber,61,1630514,680.3901354066112,52157347,76658,1886,2003,40.731,-73.983
1 Ave & E 18 St,Customer,63,211333,1298.0628321943811,6838195,5268,1940,2003,40.73381219196632,-73.9805442094803
1 Ave & E 18 St,Subscriber,61,374555,648.1857496835838,36361276,56097,1885,2003,40.73381219196632,-73.9805442094803
1 Ave & E 30 St,Customer,61,2673420,2441.12508567512,7123203,2918,1885,2003,40.74144387,-73.97536082
1 Ave & E 30 St,Subscriber,61,168792,727.3549413651398,29027281,39908,1885,2003,40.74144387,-73.97536082
1 Ave & E 44 St,Customer,62,501019,1671.0297072957624,7649974,4578,1946,2003,40.75001986,-73.96905301
1 Ave & E 44 St,Subscriber,61,2223023,972.5837288135593,31560342,32450,1885,2003,40.75001986,-73.96905301
1 Ave & E 5 St,Customer,117,73320,3596.573529411765,244567,68,1957,1999,40.725864,-73.986389
1 Ave & E 5 St,Subscriber,71,2864,567.4590443686006,332531,586,1947,2003,40.725864,-73.986389
1 Ave & E 62 St,Customer,64,1185218,1785.2530120481927,9186912,5146,1945,2003,40.761227399999996,-73.96094022
1 Ave & E 62 St,Subscriber,61,221366,829.9845953927938,35129098,42325,1889,2003,40.760999999999996,-73.962
1 Ave & E 68 St,Customer,65,1033006,1827.6199007122814,8467363,4633,1945,2003,40.76500525,-73.95818491
1 Ave & E 68 St,Subscriber,61,261112,857.913774938542,51300670,59797,1888,2003,40.76500525,-73.95818491
1 Ave & E 78 St,Customer,61,518924,1776.4414184397162,6261956,3525,1947,2003,40.77140426,-73.9535166
1 Ave & E 78 St,Subscriber,61,134478,739.2414508239219,32793490,44361,1888,2003,40.77140426,-73.9535166
1 Ave & E 94 St,Customer,61,664650,2135.0519662921347,3040314,1424,1943,2003,40.78172120000001,-73.94594000000001
1 Ave & E 94 St,Subscriber,61,1035939,969.6144978783593,13710349,14140,1890,2003,40.78172120000001,-73.94594000000001
1 Pl & Clinton St,Customer,111,43295,1231.8864265927978,889422,722,1956,2002,40.6809591,-73.99905709
1 Pl & Clinton St,Subscriber,63,94478,663.59795107673,6347978,9566,1895,2003,40.6809591,-73.99905709
10 Ave & W 28 St,Customer,63,257914,1365.8591904236887,8671840,6349,1917,2003,40.75066386,-74.00176802
10 Ave & W 28 St,Subscriber,61,853238,733.9166128369252,24995732,34058,1888,2003,40.75066386,-74.00176802
10 Hudson Yards,Customer,137,8709,1456.6095238095238,152944,105,1959,1998,40.752957,-74.00264
10 Hudson Yards,Subscriber,66,270597,896.3859910581222,3608850,4026,1954,2000,40.752957,-74.00264
10 St & 2 Ave,Customer,101,438996,3536.5128205128203,689620,195,1962,2002,40.671907,-73.993612
10 St & 2 Ave,Subscriber,64,3334,759.5621776504298,1325436,1745,1888,2003,40.671907,-73.993612
10 St & 5 Ave,Customer,71,88428,1534.1334867663982,1333162,869,1948,2002,40.6686273,-73.98700053
10 St & 5 Ave,Subscriber,66,668946,900.885533596838,5698101,6325,1888,2003,40.6686273,-73.98700053
10 St & 7 Ave,Customer,90,755053,2715.2223371251293,2625620,967,1900,2003,40.666207799999995,-73.98199886
10 St & 7 Ave,Subscriber,62,251679,676.3233197556008,6641495,9820,1885,2003,40.666207799999995,-73.98199886
11 Ave & W 27 St,Customer,61,1474216,1683.9775418154481,17920889,10642,1900,2003,40.751396,-74.00522600000001
11 Ave & W 27 St,Subscriber,61,1947736,861.088699192555,50335801,58456,1874,2003,40.751396,-74.00522600000001
11 Ave & W 41 St,Customer,61,220295,1591.9075950876356,13351329,8387,1945,2003,40.76030096,-73.99884222
11 Ave & W 41 St,Subscriber,61,215621,798.0276103326285,40377803,50597,1888,2003,40.76030096,-73.99884222
11 Ave & W 59 St,Customer,61,79593,1618.3084357310506,11721408,7243,1938,2003,40.771496710544405,-73.99046033620834
11 Ave & W 59 St,Subscriber,61,627475,974.5845626362462,46048146,47249,1899,2003,40.771496710544405,-73.99046033620834
11 St & 35 Ave,Customer,196,48391,2480.0544217687075,364568,147,1957,2002,40.76274420000001,-73.9391141
11 St & 35 Ave,Subscriber,61,5603,653.6338928856915,817696,1251,1945,2001,40.76274420000001,-73.9391141
11 St & 43 Ave,Customer,65,165457,1939.877761413844,1317177,679,1957,2001,40.7519071,-73.94791190000001
