hour_of_day,date,usertype,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-01-01,Customer,64,2294,1025.5714285714287,14358,14
00,2019-01-01,Subscriber,97,3494,740.8739495798319,88164,119
00,2019-01-02,Customer,448,4359,1805.0,21660,12
00,2019-01-02,Subscriber,71,5891,537.7687074829932,79052,147
00,2019-01-03,Customer,223,24443,2958.5,29585,10
00,2019-01-03,Subscriber,69,2626,624.9181286549708,106861,171
00,2019-01-04,Customer,165,87891,11678.363636363636,128462,11
00,2019-01-04,Subscriber,62,40267,758.4329501915709,197951,261
00,2019-01-05,Customer,248,13221,1496.5,29930,20
00,2019-01-05,Subscriber,61,74930,919.4530516431925,391687,426
00,2019-01-06,Customer,270,10099,1283.851851851852,34664,27
00,2019-01-06,Subscriber,62,40139,760.0923076923077,345842,455
00,2019-01-07,Customer,357,1078,669.7,6697,10
00,2019-01-07,Subscriber,70,3725,619.0197368421053,94091,152
00,2019-01-08,Customer,260,3532,1081.4285714285713,7570,7
00,2019-01-08,Subscriber,82,4839,622.8258426966293,110863,178
00,2019-01-09,Customer,809,2742,1622.6666666666667,4868,3
00,2019-01-09,Subscriber,107,3638,562.5425531914893,52879,94
00,2019-01-10,Customer,204,1525,679.0,2716,4
00,2019-01-10,Subscriber,76,2747,631.0147783251232,128096,203
00,2019-01-11,Customer,159,1140,564.0,2820,5
00,2019-01-11,Subscriber,61,2188,574.7584541062802,118975,207
00,2019-01-12,Customer,229,1688,637.25,12745,20
00,2019-01-12,Subscriber,75,2761,600.8976109215017,176063,293
00,2019-01-13,Customer,209,982,516.5,5165,10
00,2019-01-13,Subscriber,61,39401,776.1369047619048,260782,336
00,2019-01-14,Customer,418,1178,837.4285714285714,5862,7
00,2019-01-14,Subscriber,68,2444,555.1525423728814,65508,118
00,2019-01-15,Customer,198,2285,971.2,4856,5
00,2019-01-15,Subscriber,70,2749,577.6862745098039,88386,153
00,2019-01-16,Customer,326,3129,1343.0,10744,8
